[2018-11-06 16:33:55] [] [failed] [User text... turn fucking lights]
[2018-11-06 16:33:55] [Turn on / off lights] [success] [User text... turn on fucking lights]
[2018-11-06 16:33:55] [Turn on / off lights] [failed] [User text... turn on fucking lights]
[2018-11-06 16:33:55] [Turn on / off lights] [success] [User text... turn off fucking lights]
[2018-11-06 16:33:55] [] [failed] [User text... turn fucking lights]
[2018-11-21 16:50:54] [best command] [success] [do smt mazafaka]
[2018-11-21 16:53:52] [best command] [success] [do smt mazafaka]
[2018-11-21 16:54:03] [best command 2] [success] [do smt mazafaka]
[2018-11-27 17:03:34] [up up music up give mute give give give give shots] [success] [Sorry, try again!]
[2018-11-27 17:03:37] [music] [success] [Enjoy the best song that I have in my database.]
[2018-11-27 17:03:44] [up] [success] [Sorry, try again!]
[2018-11-27 17:04:16] [give up music shot up history lock down roll music play answer give up show increase increase history show song something shots music music music lock up disable ball run shot up lock up something tell song increase music sound] [success] [Sorry, try again!]
[2018-11-27 17:04:19] [roll] [success] [Sorry, try again!]
[2018-11-27 17:04:29] [hello lock magic] [success] [Sorry, try again!]
[2018-11-27 17:05:05] [up up up down up down ball roll up up music weather down sound sound editor give increase weather give give give music music song tell tell lock up weather screen up flip max test shot up something decrease show weather up flip] [success] [Sorry, try again!]
[2018-11-27 17:05:17] [] [success] [Sorry, try again!]
[2018-11-27 19:01:37] [SET] [success] [Sorry, try again!]
[2018-11-27 19:01:43] [CHECK] [success] [Sorry, try again!]
[2018-11-27 19:02:06] [PLAY MUSIC] [success] [I am trying to singing on my own.]
[2018-11-27 19:02:13] [CHECK TRAFFIC OPEN MUSIC CLOSE OPEN] [success] [Sorry, try again!]
[2018-11-27 19:02:16] [SET ALARM] [success] [I am not allowed to use crontab. Use this site.]
[2018-11-27 19:02:25] [OPEN SHOW OPEN OPEN] [success] [Sorry, try again!]
[2018-11-27 19:02:28] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:02:34] [BRIGHTNESS WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:02:37] [WHERE IS INCREASE] [success] [Sorry, try again!]
[2018-11-27 19:02:44] [WHO BRIGHTNESS BRIGHTNESS] [success] [Sorry, try again!]
[2018-11-27 19:02:47] [WHERE IS] [success] [Sorry, try again!]
[2018-11-27 19:02:50] [SET BRIGHTNESS] [success] [Sorry, try again!]
[2018-11-27 19:02:54] [SEND IS] [success] [Sorry, try again!]
[2018-11-27 19:03:04] [SEARCH MUSIC] [success] [Enjoy the best song that I have in my database.]
[2018-11-27 19:03:10] [WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:03:13] [CLOSE BROWSER] [success] [Sorry, try again!]
[2018-11-27 19:03:16] [CLOSE MUSIC] [success] [Sorry, try again!]
[2018-11-27 19:03:20] [SEARCH MUSIC] [success] [Enjoy the best song that I have in my database.]
[2018-11-27 19:03:28] [SEARCH TRAFFIC] [success] [Sorry, try again!]
[2018-11-27 19:03:31] [SEARCH MUSIC] [success] [Enjoy the best song that I have in my database.]
[2018-11-27 19:03:38] [SET SHOW] [success] [Sorry, try again!]
[2018-11-27 19:03:41] [EVENTS] [success] [Sorry, try again!]
[2018-11-27 19:03:44] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:03:48] [SET ALARM] [success] [I am not allowed to use crontab. Use this site.]
[2018-11-27 19:03:55] [SET SET ALARM WEATHER] [success] [Sorry, try again!]
[2018-11-27 19:03:59] [SET] [success] [Sorry, try again!]
[2018-11-27 19:04:04] [TURN OPEN TURN ON LIGHTS OPEN BRIGHTNESS] [success] [Sorry, try again!]
[2018-11-27 19:04:10] [CLOSE BROWSER OPEN OFF EVENTS ON IS] [success] [Sorry, try again!]
[2018-11-27 19:04:15] [SET OPEN] [success] [Sorry, try again!]
[2018-11-27 19:04:18] [SHOW] [success] [Sorry, try again!]
[2018-11-27 19:04:40] [SET PLAY OPEN ON LIGHTS CLOSE ALARM IS CONNECTED WEATHER SHOW OPEN SHOW TIMER CONNECTED WHO IS CONNECTED WEATHER BRIGHTNESS MUSIC OPEN ALARM TRAFFIC VOLUME OPEN IS] [success] [Sorry, try again!]
[2018-11-27 19:04:46] [CHECK WEATHER SHOW HISTORY EVENTS] [success] [Sorry, try again!]
[2018-11-27 19:04:50] [WHO] [success] [Sorry, try again!]
[2018-11-27 19:04:53] [WHO IS VOLUME] [success] [Sorry, try again!]
[2018-11-27 19:04:57] [WHO ALARM] [success] [Sorry, try again!]
[2018-11-27 19:05:09] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:05:21] [SHOW WEB] [success] [Sorry, try again!]
[2018-11-27 19:05:26] [WHO WHO] [success] [Sorry, try again!]
[2018-11-27 19:05:33] [SET ALARM OPEN OPEN OPEN SHOW IS] [success] [Sorry, try again!]
[2018-11-27 19:05:39] [WHERE TURN ON EMAIL HISTORY] [success] [Sorry, try again!]
[2018-11-27 19:05:43] [HISTORY CLOSE] [success] [Sorry, try again!]
[2018-11-27 19:05:46] [SHOW] [success] [Sorry, try again!]
[2018-11-27 19:05:50] [SHOW] [success] [Sorry, try again!]
[2018-11-27 19:06:00] [BRIGHTNESS EVENTS OPEN OFF LIGHTS] [success] [Sorry, try again!]
